id,x,y,z,D
394,-70826.38,-26084.15,3451.67,2633.2
395,-69595.99,-27636.70,3231.45,2172.1
396,-66605.64,-27372.89,3422.68,1915.1
397,-65472.15,-28412.98,3438.57,1081.5
398,-64133.59,-27557.86,3509.67,2282.4
399,-50752.52,-4463.60,2457.42,2225.3
400,-51611.09,-3126.34,2476.97,1345.0
401,-41159.52,-5530.98,6.03,1547.1
402,-37623.84,151.62,262.80,1420.3
403,-37892.00,-7356.44,-124.19,1734.9
404,-36708.93,-9836.89,-201.68,4484.5
405,-39854.77,-16474.68,981.88,2113.5
406,-42425.97,-16586.87,1091.15,1252.9
407,-43800.58,-14828.12,1027.19,1572.9
408,-40943.19,-18518.47,1073.17,1087.8
409,-38655.92,-20722.98,671.03,1944.5
410,-37673.41,-19173.45,798.88,1117.8
411,-35940.50,-17351.02,501.44,1337.5
412,-38112.84,-15216.26,749.68,1818.9
413,-30408.24,-9930.90,-220.73,3824.4
414,-28213.37,-8975.71,-205.78,1022.6
415,-21202.84,-10925.50,-230.25,1423.8
416,-20060.34,-11210.54,-201.90,1411.3
417,-17157.88,-3277.95,-82.18,1076.6
418,-9827.36,72.78,780.26,1128.9
419,-11438.58,-8463.25,-115.27,1322.6
420,-11404.78,-19361.46,-202.42,1116.1
421,-13888.10,-19879.99,-238.00,1125.6
422,-32986.21,-21150.54,-164.16,1909.8
423,-17288.58,2395.54,2.85,1523.2
424,998.28,5582.53,1048.61,1742.4
425,1663.06,7450.45,1211.37,1187.7
426,-3436.53,-1364.55,116.63,1579.1
427,-3864.69,-5758.40,-168.82,1033.6
428,2535.15,-4105.78,-78.53,1104.1
429,2352.62,-6962.24,-106.31,1179.6
430,5444.37,-1027.96,224.76,1042.5
431,-78.87,1388.81,0.84,1270.0
432,18399.53,-415.43,-364.25,1790.3
433,19625.42,-2028.63,-174.52,1126.2
434,20927.92,-918.80,-135.63,1078.2
435,28864.62,2043.79,-141.59,1082.0
436,28564.91,-3159.69,-160.63,1151.9
437,13484.73,-7741.55,-160.50,1103.8
438,9399.20,-11019.51,-324.97,1612.2
439,10726.49,-14637.08,-213.35,1088.5
440,14323.02,-14191.33,-158.15,1421.7
441,13009.25,-16044.08,-172.61,1366.3
442,18230.52,-16820.36,-379.58,2008.9
443,21885.64,-17851.36,-228.94,1277.9
444,17865.46,-21253.64,-172.54,1062.4
445,25820.19,-15689.30,-171.69,1211.3
446,38335.93,4942.71,533.22,1180.3
447,41438.95,4909.35,969.33,1895.2
448,45127.87,3508.41,1775.81,1554.5
449,46211.79,4448.44,2336.15,1016.9
450,57141.09,7881.04,3889.49,2287.8
451,48857.36,-1958.89,2311.85,3489.3
452,47485.00,-6631.72,2297.68,1548.1
453,46225.31,-10522.20,2140.39,1386.1
454,44717.74,-12993.56,1619.10,1179.3
455,38266.07,-2253.02,505.45,1199.3
456,39352.24,-10949.76,924.13,2110.8
457,41247.41,-13321.05,1087.26,1559.0
458,40449.68,-15331.49,1121.50,3165.2
459,35602.48,-17499.61,633.64,2468.7
460,25941.88,-26047.76,-282.39,4031.0
461,21374.11,-25301.80,-221.17,1129.2
462,22336.34,-25204.77,-193.20,1138.7
463,32853.25,-23148.85,590.55,2729.0
464,35656.56,-22148.18,857.68,2391.3
465,38714.51,-25444.32,1321.16,5695.4
466,43575.24,-20222.64,2251.32,1655.2
467,39381.54,-20962.53,1484.06,1614.8
468,32832.97,-12863.17,-2.43,1069.9
469,31960.88,-11071.06,-106.72,2873.2
470,53229.08,-17281.28,4895.92,1144.1
471,50633.08,-22393.79,5071.05,1086.2
472,49977.33,-23658.28,5112.94,1253.8
473,52992.46,-23903.90,4633.33,1200.7
474,55849.85,-21929.85,4549.09,1792.9
475,55908.44,4242.24,4466.30,1049.5
476,56372.66,5321.75,4304.38,1261.9
477,68509.82,7453.48,4118.22,1062.6
478,73512.51,6643.85,4010.92,1225.3
479,64591.04,1977.08,4074.32,1507.5
480,61224.37,1740.56,4308.06,1432.9
481,61880.12,1055.25,4254.20,1093.7
482,61370.84,3374.99,4232.67,1378.1
483,64354.43,-5682.60,4140.42,1641.6
484,58939.35,-7617.23,4427.46,1083.2
485,59953.41,-5916.09,4424.61,1351.3
486,61429.43,-10228.07,4552.77,1305.9
487,62671.09,-10934.60,4433.09,1292.2
488,63101.50,-11862.49,4356.09,1294.8
489,63139.81,-13284.66,4287.42,1752.5
490,61411.40,-11783.65,4281.69,1927.0
491,52208.26,-25192.64,4655.61,1059.6
492,61990.54,-21462.87,4316.95,1396.4
